🌏  央   视,#genre#
CCTV1综合,rtsp://223.99.188.13/PLTV/88888888/224/3221226274/10000100000000060000000003005830_0.smil
CCTV2财经,rtsp://223.99.188.13/PLTV/88888888/224/3221226212/10000100000000060000000002553840_0.smil
CCTV3综艺,rtsp://223.99.188.13/PLTV/88888888/224/3221227259/10000100000000060000000005671739_0.smil
CCTV4中文国际,rtsp://223.99.188.13/PLTV/88888888/224/3221226229/10000100000000060000000002553864_0.smil
CCTV5体育,rtsp://223.99.188.13/PLTV/88888888/224/3221225773/10000100000000060000000001370151_0.smil
CCTV5+体育赛事,rtsp://223.99.188.13/PLTV/88888888/224/3221226218/10000100000000060000000002553918_0.smil
CCTV6电影,rtsp://223.99.188.13/PLTV/88888888/224/3221227243/10000100000000060000000005671730_0.smil
CCTV7国防军事,rtsp://223.99.188.13/PLTV/88888888/224/3221226213/10000100000000060000000002553850_0.smil
CCTV8电视剧,rtsp://223.99.188.13/PLTV/88888888/224/3221227275/10000100000000060000000005671731_0.smil
CCTV9纪录,rtsp://223.99.188.13/PLTV/88888888/224/3221226230/10000100000000060000000002553858_0.smil
CCTV10科教,rtsp://223.99.188.13/PLTV/88888888/224/3221226228/10000100000000060000000002553868_0.smil
CCTV11戏曲,rtsp://223.99.188.13/PLTV/88888888/224/3221227240/10000100000000060000000005622087_0.smil
CCTV12社会与法,rtsp://223.99.188.13/PLTV/88888888/224/3221226227/10000100000000060000000002553877_0.smil
CCTV13新闻,rtsp://223.99.188.13/PLTV/88888888/224/3221227266/10000100000000060000000005622088_0.smil
CCTV14少儿,rtsp://223.99.188.13/PLTV/88888888/224/3221226226/10000100000000060000000002553878_0.smil
CCTV15音乐,rtsp://223.99.188.13/PLTV/88888888/224/3221227235/10000100000000060000000005622089_0.smil
CCTV16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17农业农村,rtsp://223.99.188.13/PLTV/88888888/224/3221226590/10000100000000060000000003636571_0.smil
CCTV4K超高清,http://39.134.144.6:8089/PLTV/88888888/224/3221226615/index.m3u8
CCTV第一剧场,http://zcj.work.gd/Cha/1.m3u8?第一剧场
CCTV风云剧场,http://zcj.work.gd/Cha/1.m3u8?风云剧场
CCTV怀旧剧场,http://zcj.work.gd/Cha/1.m3u8?怀旧剧场
CCTV风云剧场,http://A/ku9/js/ysp.js?id=https://yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场,http://A/ku9/js/ysp.js?id=https://yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场,http://A/ku9/js/ysp.js?id=https://yangshipin.cn/tv/home?pid=600099620
CETV1,rtsp://223.99.188.13/PLTV/88888888/224/3221226899/10000100000000060000000005131391_0.smil
CETV4,rtsp://223.99.188.13/PLTV/88888888/224/3221227413/10000100000000060000000008010081_0.smil


🛰  卫   视,#genre#
北京卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225848/10000100000000060000000001379682_0.smil
山东卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225847/10000100000000060000000001379675_0.smil
河南卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227244/10000100000000060000000005662428_0.smil
湖南卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226225/10000100000000060000000002553883_0.smil
浙江卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225851/10000100000000060000000001379689_0.smil
东方卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226109/10000100000000060000000001806357_0.smil
江苏卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225849/10000100000000060000000001379685_0.smil
安徽卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226221/10000100000000060000000002553906_0.smil
天津卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227350/10000100000000060000000006309362_0.smil
辽宁卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226223/10000100000000060000000002553896_0.smil
深圳卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225853/10000100000000060000000001379691_0.smil
东南卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226124/10000100000000060000000001933100_0.smil
湖北卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226224/10000100000000060000000002553887_0.smil
广东卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225852/10000100000000060000000001379690_0.smil
黑龙江卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221225850/10000100000000060000000001379688_0.smil
重庆卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227207/10000100000000060000000005559451_0.smil
贵州卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226220/10000100000000060000000002553907_0.smil
江西卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227208/10000100000000060000000005559452_0.smil
河北卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226219/10000100000000060000000002553909_0.smil
海南卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226902/10000100000000060000000005151791_0.smil
四川卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221226909/10000100000000060000000005151809_0.smil
广西卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227375/10000100000000060000000007377602_0.smil
吉林卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227348/10000100000000060000000006851208_0.smil
云南卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227409/10000100000000060000000007377599_0.smil
甘肃卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227204/10000100000000060000000005559453_0.smil
青海卫视,rtsp://223.99.188.13/PLTV/88888888/224/3221227378/10000100000000060000000007377593_0.smil


📺  山   东,#genre#
山东齐鲁,rtsp://223.99.188.13/PLTV/88888888/224/3221226170/10000100000000060000000002178243_0.smil
山东新闻,rtsp://223.99.188.13/PLTV/88888888/224/3221226186/10000100000000060000000002499444_0.smil
山东生活,rtsp://223.99.188.13/PLTV/88888888/224/3221226275/10000100000000060000000003007287_0.smil
山东综艺,rtsp://223.99.188.13/PLTV/88888888/224/3221226288/10000100000000060000000003023826_0.smil
山东体育,rtsp://223.99.188.13/PLTV/88888888/224/3221226187/10000100000000060000000002499451_0.smil
